,Symbol,Name,Unnamed: 2,Price,Change,Change %,Volume,Avg Vol (3M),Market Cap,P/E Ratio (TTM),52 Wk Change %,52 Wk Range
76,XPEV,XPeng Inc.,,23.80 +1.16 (+5.12%),1.16,+5.12%,13.035M,12.101M,24.398B,-,138.07%,
77,FRO,Frontline plc,,16.62 +0.81 (+5.12%),0.81,+5.12%,2.691M,3.375M,3.7B,7.45,-30.17%,
78,WBD,"Warner Bros. Discovery, Inc.",,10.92 +0.53 (+5.10%),0.53,+5.10%,35.998M,32.106M,26.806B,-,18.88%,
79,CLS,Celestica Inc.,,91.92 +4.45 (+5.09%),4.45,+5.09%,3.014M,4.545M,10.669B,25.46,98.57%,
80,CELH,"Celsius Holdings, Inc.",,31.90 +1.53 (+5.04%),1.53,+5.04%,12.154M,9.823M,7.501B,70.89,-66.50%,
81,CUK,Carnival Corporation & plc,,18.99 +0.91 (+5.03%),0.91,+5.03%,1.662M,1.822M,25.431B,13.19,18.32%,
82,FMCKI,Federal Home Loan Mortgage Corporation,,9.40 +0.45 (+5.03%),0.45,+5.03%,16070,19513,7.081B,138.24,164.79%,
83,TEM,"Tempus AI, Inc.",,48.03 +2.29 (+5.01%),2.29,+5.01%,10.84M,12.703M,8.271B,-,13.64%,
84,CVCO,"Cavco Industries, Inc.",,525.65 +25.04 (+5.00%),25.04,+5.00%,61163,59401,4.212B,25.93,28.48%,
85,YPF,YPF Sociedad Anónima,,35.48 +1.69 (+5.00%),1.69,+5.00%,1.582M,1.963M,16.981B,5.92,74.54%,
86,CRS,Carpenter Technology Corporation,,190.61 +9.07 (+5.00%),9.07,+5.00%,539181,966965,9.521B,35.96,167.84%,
87,CAR,"Avis Budget Group, Inc.",,60.90 +2.89 (+4.98%),2.89,+4.98%,1.129M,822363,2.138B,-,-50.25%,
88,ROAD,"Construction Partners, Inc.",,75.94 +3.54 (+4.89%),3.54,+4.89%,469848,586063,4.249B,71.64,36.53%,
89,BBIO,"BridgeBio Pharma, Inc.",,33.75 +1.56 (+4.85%),1.56,+4.85%,2.019M,2.943M,6.419B,-,12.43%,
90,RMBS,Rambus Inc.,,56.96 +2.63 (+4.84%),2.63,+4.84%,822116,983250,6.12B,34.52,-10.24%,
91,SKY,"Champion Homes, Inc.",,95.44 +4.38 (+4.81%),4.38,+4.81%,304621,783974,5.466B,33.72,8.07%,
92,USLM,"United States Lime & Minerals, Inc.",,95.83 +4.39 (+4.80%),4.39,+4.80%,101207,122313,2.743B,25.28,52.31%,
93,TEAM,Atlassian Corporation,,229.86 +10.41 (+4.74%),10.41,+4.74%,3.162M,2.136M,60.223B,-,11.84%,
94,RUSHB,"Rush Enterprises, Inc.",,56.14 +2.54 (+4.74%),2.54,+4.74%,39949,23501,4.403B,15.09,2.82%,
