,Unnamed: 0,Volume,Last,Chg,% Chg
56,Cohen Circle Acquisition Corp. I Cl A (CCIR),2.3M,12.21,0.71,6.17
57,Ameresco Inc. Cl A (AMRC),346.6K,12.26,0.7,6.06
58,Coeptis Therapeutics Holdings Inc. (COEP),155.0K,9.0,0.5,5.88
59,Yalla Group Ltd. ADR (YALA),950.6K,5.24,0.29,5.86
60,LZ Technology Holdings Ltd. Cl B (LZMH),317.4K,10.75,0.58,5.7
61,Prairie Operating Co. (PROP),196.9K,6.15,0.33,5.67
62,Civeo Corp. (CVEO),86.4K,21.89,1.15,5.54
63,Metsera Inc. (MTSR),358.5K,29.94,1.55,5.48
64,Virgin Galactic Holdings Inc. (SPCE),1.4M,3.66,0.19,5.48
65,Vertical Aerospace Ltd. (EVTL),193.2K,4.28,0.22,5.42
66,Alignment Healthcare Inc. (ALHC),2.0M,16.93,0.84,5.25
67,Orion Group Holdings Inc. (ORN),187.2K,5.87,0.29,5.2
68,Coffee Holding Co. Inc. (JVA),195.0K,5.08,0.24,5.02
69,Maze Therapeutics Inc. (MAZE),75.5K,12.06,0.57,4.96
70,LENZ Therapeutics Inc. (LENZ),225.9K,24.74,1.15,4.87
71,Upland Software Inc. (UPLD),95.3K,3.3,0.15,4.76
72,Valens Semiconductor Ltd. (VLN),89.9K,2.22,0.1,4.72
73,Solaris Energy Infrastructure Inc. (SEI),1.5M,21.42,0.96,4.72
74,Airship AI Holdings Inc. Cl A (AISP),574.2K,4.27,0.19,4.66
75,McEwen Mining Inc. (MUX),923.8K,7.88,0.35,4.65
76,Asure Software Inc. (ASUR),63.6K,9.97,0.44,4.62
77,Avita Medical Inc. (RCEL),108.2K,9.44,0.41,4.6
78,Endeavour Silver Corp. (EXK),9.1M,5.02,0.22,4.58
79,NIO Inc. ADR (NIO),63.0M,5.26,0.23,4.57
80,Rivian Automotive Inc. Cl A (RIVN),19.7M,11.52,0.49,4.49
81,Bluejay Diagnostics Inc. (BJDX),90.3K,4.25,0.18,4.42
82,Natural Alternatives International Inc. (NAII),54.1K,3.62,0.15,4.32
83,V2X Inc. (VVX),211.6K,51.27,2.12,4.31
84,MasterBrand Inc. (MBC),319.3K,13.96,0.57,4.26
85,CNX Resources Corp. (CNX),1.3M,32.03,1.3,4.23
86,Grab Holdings Ltd. (GRAB),22.4M,4.64,0.18,4.16
87,SiTime Corp. (SITM),169.5K,177.45,6.99,4.1
88,Fortuna Mining Corp. (FSM),14.0M,5.98,0.23,4.09
89,MYR Group Inc. (MYRG),276.0K,125.4,4.91,4.07
90,Astrana Health Inc. (ASTH),135.8K,31.83,1.23,4.02
91,REV Group Inc. (REVG),311.9K,31.17,1.2,4.0
92,Infinity Natural Resources Inc. (INR),196.1K,17.9,0.68,3.92
93,Pangaea Logistics Solutions Ltd. (PANL),212.1K,5.67,0.21,3.85
94,Hallador Energy Co. (HNRG),569.5K,11.92,0.44,3.83
95,Coeur Mining Inc. (CDE),13.3M,6.68,0.24,3.81
96,Sprott Inc. (SII),90.8K,44.84,1.65,3.81
97,Deutsche Bank AG (DB),3.4M,24.85,0.9,3.76
98,Peabody Energy Corp. (BTU),3.6M,13.85,0.5,3.75
99,AngloGold Ashanti PLC (AU),1.7M,34.22,1.23,3.73
