,Unnamed: 0,Volume,Last,Chg,% Chg
67,Beyond Inc. (BYON),909.5K,5.43,0.39,7.74
68,VNET Group Inc. ADR (VNET),3.2M,11.2,0.8,7.69
69,Serve Robotics Inc. (SERV),1.9M,7.56,0.54,7.62
70,Pony AI Inc. ADR (PONY),600.7K,13.79,0.98,7.61
71,EverCommerce Inc. (EVCM),75.1K,9.63,0.68,7.6
72,Hallador Energy Co. (HNRG),154.9K,10.78,0.74,7.37
73,Wolfspeed Inc. (WOLF),3.9M,5.47,0.36,7.05
74,UP Fintech Holding Ltd. ADR (TIGR),2.1M,7.51,0.5,7.13
75,Candel Therapeutics Inc. (CADL),228.9K,8.5,0.56,7.05
76,GeneDx Holdings Corp. (WGS),86.6K,95.6,6.29,7.04
77,Applied Digital Corp. (APLD),4.2M,6.72,0.43,6.93
78,Great Lakes Dredge & Dock Corp. (GLDD),132.7K,8.38,0.54,6.89
79,KE Holdings Inc. ADR (BEKE),3.3M,23.98,1.54,6.89
80,Palantir Technologies Inc. (PLTR),36.3M,85.1,5.48,6.88
81,Gaotu Techedu Inc. ADR (GOTU),1.5M,3.69,0.23,6.78
82,Maxeon Solar Technologies Ltd. (MAXN),56.1K,3.32,0.21,6.75
83,Agora Inc. ADR (API),158.0K,5.61,0.35,6.65
84,Bit Digital Inc. (BTBT),6.0M,2.42,0.15,6.59
85,EHang Holdings Ltd. ADR (EH),893.1K,23.2,1.43,6.56
86,Braskem S/A ADR (BAK),159.7K,3.86,0.23,6.49
87,NuScale Power Corp. (SMR),1.7M,16.2,0.98,6.48
88,Altimmune Inc. (ALT),937.0K,5.54,0.34,6.44
89,Qifu Technology Inc. ADR (QFIN),428.7K,42.54,2.57,6.43
90,Tempus AI Inc. (TEM),3.5M,44.86,2.69,6.39
91,Zynex Inc. (ZYXI),193.0K,3.09,0.18,6.37
92,High Tide Inc. (HITI),186.3K,2.33,0.14,6.35
93,Atomera Inc. (ATOM),63.1K,5.77,0.34,6.26
94,Methode Electronics Inc. (MEI),157.0K,6.52,0.38,6.19
95,Redwire Corp. (RDW),251.6K,9.96,0.58,6.18
96,Magnachip Semiconductor Corp. (MX),84.2K,3.87,0.22,6.03
97,Cooper-Standard Holdings Inc. (CPS),93.5K,13.82,0.78,5.98
98,Oklo Inc. (OKLO),4.3M,25.37,1.42,5.93
99,Solaris Energy Infrastructure Inc. (SEI),212.7K,24.36,1.35,5.89
