symbol,price,price_change,price_percent_change,timestamp,source
AA,35.02,1.05,3.09,2025-03-19 17:30:10,yahoo
USLM,94.07,2.63,2.87,2025-03-19 17:30:10,yahoo
NOG,30.83,0.9,3.01,2025-03-19 17:30:10,yahoo
TPR,73.11,2.14,3.02,2025-03-19 17:30:10,yahoo
NRG,97.5,2.82,2.98,2025-03-19 17:30:10,yahoo
CNK,25.79,0.78,3.12,2025-03-19 17:30:10,yahoo
SHAK,88.38,2.6,3.03,2025-03-19 17:30:10,yahoo
FNMAS,11.57,0.34,3.03,2025-03-19 17:30:10,yahoo
AU,35.22,1.03,3.01,2025-03-19 17:30:10,yahoo
TEO,10.64,0.31,3.0,2025-03-19 17:30:10,yahoo
